post_title;post_name;post_parent;ID;post_content;post_excerpt;post_status;post_password;menu_order;post_date;post_author;comment_status;sku;parent_sku;children;downloadable;virtual;stock;regular_price;sale_price;weight;length;width;height;tax_class;visibility;stock_status;backorders;sold_individually;low_stock_amount;manage_stock;tax_status;upsell_ids;crosssell_ids;purchase_note;sale_price_dates_from;sale_price_dates_to;download_limit;download_expiry;product_url;button_text;images;downloadable_files;product_page_url;tax:product_type;tax:product_visibility;tax:product_cat;tax:product_tag;tax:product_shipping_class;attribute:pa_airco;attribute_data:pa_airco;attribute_default:pa_airco;attribute:pa_brandstof;attribute_data:pa_brandstof;attribute_default:pa_brandstof;attribute:pa_kleur;attribute_data:pa_kleur;attribute_default:pa_kleur;attribute:pa_merk;attribute_data:pa_merk;attribute_default:pa_merk;attribute:pa_transmissie;attribute_data:pa_transmissie;attribute_default:pa_transmissie;attribute:pa_trekhaak;attribute_data:pa_trekhaak;attribute_default:pa_trekhaak
BMW 1;bmw-1-2;;43;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-1-wit.jpg ! alt :  ! title : BMW 1 wit ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-1-2/;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;wit;0|1|0;;BMW;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
BMW 3;bmw-3;;45;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-3-grijs.jpg ! alt :  ! title : BMW 3 grijs ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-3/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;BMW;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Peugeot 2008;peugeot-2008;;101;;;future;;0;15-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Peugeot-200k-zwart.jpg ! alt :  ! title : Peugeot 200k zwart ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=101;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Peugeot;0|1|0;;Handgeschakeld 4-bak;0|1|0;;nee;0|1|0;
Peugeot 308;peugeot-308;;103;;;future;;0;16-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Peugeot-308.jpg ! alt :  ! title : Peugeot 308 ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=103;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Peugeot;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Peugeot 5008;peugeot-5008;;105;;;future;;0;17-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Peugeot-5008-zwart.jpg ! alt :  ! title : Peugeot 5008 zwart ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=105;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Peugeot;0|1|0;;Automaat;0|1|0;;ja;0|1|0;
Renault Megane;renault-megane;;107;;;future;;0;18-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Megane-grijs.jpg ! alt :  ! title : Renault Megane grijs ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=107;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Renault;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Renault Captur;renault-captur;;109;;;future;;0;19-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Captur-bruin.jpg ! alt :  ! title : Renault Captur bruin ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=109;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;goud;0|1|0;;Renault;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
Renault Captur;renault-captur-2;;111;;;future;;0;20-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Captur-rood.jpg ! alt :  ! title : Renault Captur rood ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=111;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Renault;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Renault Clio;renault-clio;;113;;;future;;0;21-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Clio.jpg ! alt :  ! title : Renault Clio ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=113;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Renault;0|1|0;;Handgeschakeld 4-bak;0|1|0;;nee;0|1|0;
Renault Kadjar;renault-kadjar;;115;;;future;;0;22-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Kadjar-wit.jpg ! alt :  ! title : Renault Kadjar wit ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=115;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Renault;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Renault megane;renault-megane-2;;117;;;future;;0;23-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Megane-grijs.jpg ! alt :  ! title : Renault Megane grijs ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=117;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;blauw;0|1|0;;Renault;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
Renault Megane;renault-megane-3;;119;;;future;;0;24-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Renault-Megane-grijs.jpg ! alt :  ! title : Renault Megane grijs ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=119;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;zilver;0|1|0;;Renault;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Volkswagen Polo;volkswagen-polo;;168;;Absoluut geschikt voor studenten, boodschappen, kleine ritjes in de stad;publish;;0;21-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Volkswagen-Polo-wit.jpg ! alt :  ! title : Volkswagen Polo wit ! desc :  ! caption : ;;http://localhost/dealer/product/volkswagen-polo/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Volkswagen;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
Mazda 323;mazda-323;;169;;Middenklasser met veel potentie;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Mazda-323.webp ! alt :  ! title : Mazda 323 ! desc :  ! caption : ;;http://localhost/dealer/product/mazda-323/;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;blauw;0|1|0;;Mazda;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
BMW 3;bmw-3-2;;170;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-3.jpg ! alt :  ! title : BMW 3 ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-3-2/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;BMW;0|1|0;;Handgeschakeld 4-bak;0|1|0;;ja;0|1|0;
BMW 5;bmw-5;;171;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/BMW-5-zwart.jpg ! alt :  ! title : BMW 5 zwart ! desc :  ! caption : ;;http://localhost/dealer/product/bmw-5/;simple;;Geen categorie;;;nee;0|1|0;;Diesel;0|1|0;;zwart;0|1|0;;BMW;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Citroën Berlingo;citroen-berlingo;;172;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Citroen-Berlingo.jpg ! alt :  ! title : Citroen Berlingo ! desc :  ! caption : ;;http://localhost/dealer/product/citroen-berlingo/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Citroën;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
Citroën C3;citroen-c3;;173;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Citroen-C3-wit.jpg ! alt :  ! title : Citroen C3 wit ! desc :  ! caption : ;;http://localhost/dealer/product/citroen-c3/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Citroën;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Citroën C4;citroen-c4;;174;;;publish;;0;22-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Citroen-C4-CAtus.jpg ! alt :  ! title : Citroen C4 CAtus ! desc :  ! caption : ;;http://localhost/dealer/product/citroen-c4/;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Citroën;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
Fiat 500;fiat-500-2;;176;;;future;;0;24-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Fiat-500-X-grijs.jpg ! alt :  ! title : Fiat 500 X grijs ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=176;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Fiat;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Fiat 500;fiat-500-3;;177;;;future;;0;25-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Fiat-500-blauw.jpg ! alt :  ! title : Fiat 500 blauw ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=177;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;zwart;0|1|0;;Fiat;0|1|0;;Handgeschakeld 4-bak;0|1|0;;ja;0|1|0;
Fiat 500;fiat-500-4;;178;;;future;;0;26-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Fiat-500-rood.jpg ! alt :  ! title : Fiat 500 rood ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=178;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Fiat;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Fiat Panda;fiat-panda;;179;;;future;;0;27-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Fiat-Panda-zwart.jpg ! alt :  ! title : Fiat Panda zwart ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=179;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Fiat;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
Ford C-Max;ford-c-max;;180;;;future;;0;28-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Ford-C-Max.jpg ! alt :  ! title : Ford C-Max ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=180;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zwart;0|1|0;;Ford;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Ford Fiesta;ford-fiesta;;181;;Tweedeurs Ford Fiesta uit 2014, goede staat van onderhoud. 61.000 km op de teller, dus weinig gebruikt!  Handgeschakelde vijfbak met benzinemotor van 1200 cc;future;;0;29-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Ford-Fiesta.jpg ! alt :  ! title : Ford Fiesta ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=181;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Ford;0|1|0;;Handgeschakeld 6-bak;0|1|0;;ja;0|1|0;
Ford Focus;ford-focus;;182;;;future;;0;30-6-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Ford-Focus.jpg ! alt :  ! title : Ford Focus ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=182;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;wit;0|1|0;;Ford;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Ford Kuga;ford-kuga;;183;;;future;;0;1-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Ford-Kuga-grijs.jpg ! alt :  ! title : Ford Kuga grijs ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=183;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Ford;0|1|0;;Handgeschakeld 4-bak;0|1|0;;ja;0|1|0;
Mazda CXS;mazda-cxs;;184;;;future;;0;2-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Mazda-CX5.jpg ! alt :  ! title : Mazda CX5 ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=184;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Mazda;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Mercedes-Benz 300;mercedes-benz-300;;185;;;future;;0;5-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Mercedes-Benz-rood.jpg ! alt :  ! title : Mercedes Benz rood ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=185;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Mercedes-Benz;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
Mercedes-Benz 220-coupé;mercedes-benz-220-coupe;;186;;;future;;0;6-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Mercedes-Benz-wit.jpg ! alt :  ! title : Mercedes Benz wit ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=186;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Mercedes-Benz;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Mercedes-Benz A;mercedes-benz-a;;187;;;future;;0;7-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Merceds-Benz-A.jpg ! alt :  ! title : Merceds Benz A ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=187;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Mercedes-Benz;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
Morris Mini-Clubman;morris-mini-clubman;;188;;;future;;0;8-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Mini-Clubman-wit.jpg ! alt :  ! title : Mini Clubman wit ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=188;simple;;Geen categorie;;;nee;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Morris;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Nissan Micra;nissan-micra;;189;;;future;;0;9-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Nissan-Micra-zwart.jpg ! alt :  ! title : Nissan Micra zwart ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=189;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;zwart;0|1|0;;Nissan;0|1|0;;Handgeschakeld 4-bak;0|1|0;;nee;0|1|0;
Nissan Qashquai;nissan-qashquai;;190;;;future;;0;10-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Nissan-Quashquai.jpg ! alt :  ! title : Nissan Quashquai ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=190;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Nissan;0|1|0;;Handgeschakeld 5-bak;0|1|0;;ja;0|1|0;
Opel Astra;opel-astra;;191;;;future;;0;11-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Opel-Astra.jpg ! alt :  ! title : Opel Astra ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=191;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;rood;0|1|0;;Opel;0|1|0;;Automaat;0|1|0;;nee;0|1|0;
Opel Mokka;opel-mokka;;192;;;future;;0;12-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Opel-Mokka.jpg ! alt :  ! title : Opel Mokka ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=192;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;wit;0|1|0;;Opel;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
Opel Mokka;opel-mokka-2;;193;;;future;;0;13-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Opel-Mokka-X.jpg ! alt :  ! title : Opel Mokka X ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=193;simple;;Geen categorie;;;ja;0|1|0;;Benzine;0|1|0;;zilver;0|1|0;;Opel;0|1|0;;Handgeschakeld 6-bak;0|1|0;;nee;0|1|0;
Peugeot 107;peugeot-107;;194;;;future;;0;14-7-2022 00:00;1;closed;;;;no;no;;;;;;;;;;instock;no;no;;no;taxable;;;;;;0;0;;;http://localhost/dealer/wp-content/uploads/2022/06/Peugeot-107-wit.jpg ! alt :  ! title : Peugeot 107 wit ! desc :  ! caption : ;;http://localhost/dealer/?post_type=product&p=194;simple;;Geen categorie;;;ja;0|1|0;;Diesel;0|1|0;;wit;0|1|0;;Peugeot;0|1|0;;Handgeschakeld 5-bak;0|1|0;;nee;0|1|0;
